c,time
0,00.000017554
4,00.000022623
8,00.000080999
12,00.000119963
16,00.000234904
20,00.000404278
24,00.000687195
28,00.001079524
32,00.001856796
36,00.002245027
40,00.003341366
44,00.004919451
48,00.006085308
52,00.008239102
56,00.010360995
60,00.013308218
64,00.016582510
68,00.016839222
72,00.020822676
76,00.029800304
80,00.031207812
84,00.035684162
88,00.042205568
92,00.049510047
96,00.057363008
100,00.066836520
104,00.079667084
108,00.088988749
112,00.105501648
116,00.117902573
120,00.128403782
124,00.147277149
128,00.170671650
132,00.188084097
136,00.216870315
140,00.239785520
144,00.262647681
148,00.293017688
152,00.323348295
156,00.353290660
160,00.395778712
164,00.441241395
168,00.478427656
172,00.515917483
176,00.567921146
180,00.634505969
184,00.677047923
188,00.741406228
192,00.783512521
196,00.856159147
200,00.936563834
204,00.999680013
208,01.092065341
212,01.169904555
216,01.257161708
220,01.364039828
224,01.444107815
228,01.585973767
232,01.740405896
236,01.774519671
240,01.903108074
244,02.031893993
248,02.151780397
252,02.298419071
256,02.452366415
260,02.630836821
264,02.769928943
268,02.909377058
272,03.089037469
276,03.291026983
280,03.498605215
284,03.665894931
288,03.859535459
292,04.108822982
296,04.337277450
300,04.531176156
304,04.769633584
308,05.131477490
312,05.296933012
316,05.557052451
320,05.873153868
324,06.159743840
328,06.465796292
332,06.783317662
336,07.116297982
340,07.417345558
344,07.761580838
348,08.248138950
352,08.539967632
356,08.954215690
360,09.368789771
364,09.701174059
368,10.140307121
372,10.714680695
376,11.079834730
380,11.539203518
384,12.006410369
388,12.492842944
392,13.111085663
396,13.615388721
400,14.192848755
404,14.667369171
408,15.318537882
412,15.885725205
416,16.453377384
420,17.199523354
424,17.875176384
428,18.461859442
432,19.170519758
436,19.875270476
440,20.630422937
444,21.348420928
448,22.195321734
452,22.980255032
456,23.657713678
460,24.649664507
464,25.456097578
468,26.478657238
472,27.186096645
476,28.203711333
480,28.998927925
484,30.084212115
488,31.128061023
492,32.056406289
496,33.109912311
500,34.225722969
